Species,MaxBiomass_Valley,MaxBiomass_Mesic,MaxBiomass_Xeric,Industrial,PreCommercialThin,SalvageLogging,WA_DNR,PCT_dry,PCT_moist,PCT_cold,CT_dry,CT_moist,CC_cold,WC_cold
AbieAmab,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
AbieGran,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
AbieLasi,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
AbieProc,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
AcerMacr,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
AlnuRubr,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
BetuOcci,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
BetuPapy,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
ChamNoot,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
CornNutt,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
FraxLati,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
JuniOcci,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
JuniScop,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
LariLyal,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
LariOcci,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PiceEnge,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PinuAlbi,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PinuCont,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PinuMont,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PinuPond,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PopuBals,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PopuTrem,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PrunEmar,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
PseuMenz,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
QuerGarr,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
TaxuBrev,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
ThujPlic,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
TsugHete,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
TsugMert,0.8,0.8,0.6,0.9,0,0,0.9,0,0,0,0.83,0.83,0.83,0
NonFxr_Resprt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonFxr_Seed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfixer_Resprt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass_Forb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
