"","MapCode","SpeciesName","CohortAge","CohortBiomass","WoodBiomass","LeafBiomass"
"1",18716,"AbieLasi",60,372,334.8,37.2
"2",18716,"AbieLasi",75,516,464.4,51.6
"3",18716,"Grass_Forb",5,2,1.8,0.2
"4",18716,"NonFxr_Resprt",10,75,67.5,7.5
"5",18716,"PseuMenz",45,46,41.4,4.6
"6",18716,"PseuMenz",55,48,43.2,4.8
"7",18716,"PseuMenz",60,348,313.2,34.8
"8",18716,"PseuMenz",65,139,125.1,13.9
"9",18716,"PseuMenz",70,1146,1031.4,114.6
"10",18716,"PseuMenz",80,981,882.9,98.1
"11",18716,"PseuMenz",110,1394,1254.6,139.4
"12",18716,"PseuMenz",120,644,579.6,64.4
"13",18718,"Grass_Forb",5,7,6.3,0.7
"14",18718,"NonFxr_Resprt",10,505,454.5,50.5
"15",18718,"NonFxr_Resprt",20,650,585,65
"16",18718,"NonFxr_Resprt",30,750,675,75
"17",18718,"NonFxr_Resprt",40,1800,1620,180
"18",18718,"NonFxr_Seed",20,100,90,10
"19",18718,"NonFxr_Seed",30,200,180,20
"20",18718,"PinuPond",30,11,9.9,1.1
"21",18718,"PseuMenz",25,12,10.8,1.2
"22",18718,"PseuMenz",30,27,24.3,2.7
"23",18718,"PseuMenz",35,49,44.1,4.9
"24",18718,"PseuMenz",155,2982,2683.8,298.2
"25",18733,"Grass_Forb",5,16,14.4,1.6
"26",18733,"NonFxr_Resprt",10,200,180,20
"27",18733,"NonFxr_Seed",10,145,130.5,14.5
"28",18733,"NonFxr_Seed",30,350,315,35
"29",18733,"PinuPond",90,559,503.1,55.9
"30",18733,"PinuPond",110,619,557.1,61.9
"31",18733,"PseuMenz",25,7,6.3,0.7
"32",18733,"PseuMenz",50,18,16.2,1.8
"33",18733,"PseuMenz",90,411,369.9,41.1
"34",18733,"PseuMenz",95,990,891,99
"35",18733,"PseuMenz",110,1581,1422.9,158.1
"36",18735,"AbieLasi",35,35,31.5,3.5
"37",18735,"AbieLasi",50,345,310.5,34.5
