LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         no    0        eco00.0000000000    "PWG:0;HUC:0000000000"
         no    10001    eco10.1702000209    "PWG:10; HUC:1702000209"
         no    10002    eco10.1702000212    "PWG:10; HUC:1702000212"
         no    10003    eco10.1702000402    "PWG:10; HUC:1702000402"
         no    10004    eco10.1702000502    "PWG:10; HUC:1702000502"
         no    10005    eco10.1702000504    "PWG:10; HUC:1702000504"
         no    10006    eco10.1702000505    "PWG:10; HUC:1702000505"
         no    10007    eco10.1702000615    "PWG:10; HUC:1702000615"
         no    10008    eco10.1702000616    "PWG:10; HUC:1702000616"
         no    10009    eco10.1702000617    "PWG:10; HUC:1702000617"
         no    10010    eco10.1702000618    "PWG:10; HUC:1702000618"
         no    10011    eco10.1702000619    "PWG:10; HUC:1702000619"
         no    10012    eco10.170200062    "PWG:10; HUC:170200062"
         no    10013    eco10.1702000621    "PWG:10; HUC:1702000621"
         no    10014    eco10.1702000622    "PWG:10; HUC:1702000622"
         no    10015    eco10.1702000701    "PWG:10; HUC:1702000701"
         no    10016    eco10.1702000713    "PWG:10; HUC:1702000713"
         no    10017    eco10.1702000719    "PWG:10; HUC:1702000719"
         no    10018    eco10.170200072    "PWG:10; HUC:170200072"
         no    10019    eco10.1702000801    "PWG:10; HUC:1702000801"
         no    10020    eco10.1702000802    "PWG:10; HUC:1702000802"
         no    10021    eco10.1702000803    "PWG:10; HUC:1702000803"
         no    10022    eco10.1702000804    "PWG:10; HUC:1702000804"
         no    10023    eco10.1702000805    "PWG:10; HUC:1702000805"
         no    10024    eco10.1702000806    "PWG:10; HUC:1702000806"
         no    10025    eco10.1702000807    "PWG:10; HUC:1702000807"
         no    10026    eco10.1702000901    "PWG:10; HUC:1702000901"
         no    10027    eco10.1702000902    "PWG:10; HUC:1702000902"
         no    10028    eco10.1711000505    "PWG:10; HUC:1711000505"
         no    11029    eco11.1702000212    "PWG:11; HUC:1702000212"
         no    11030    eco11.1702000505    "PWG:11; HUC:1702000505"
         no    11031    eco11.1702000616    "PWG:11; HUC:1702000616"
         no    11032    eco11.1702000618    "PWG:11; HUC:1702000618"
         no    11033    eco11.1702000619    "PWG:11; HUC:1702000619"
         no    11034    eco11.170200062    "PWG:11; HUC:170200062"
         no    11035    eco11.1702000621    "PWG:11; HUC:1702000621"
         no    11036    eco11.1702000622    "PWG:11; HUC:1702000622"
         no    11037    eco11.1702000701    "PWG:11; HUC:1702000701"
         no    11038    eco11.1702000713    "PWG:11; HUC:1702000713"
         no    11039    eco11.1702000714    "PWG:11; HUC:1702000714"
         no    11040    eco11.1702000718    "PWG:11; HUC:1702000718"
         no    11041    eco11.1702000719    "PWG:11; HUC:1702000719"
         no    11042    eco11.170200072    "PWG:11; HUC:170200072"
         no    11043    eco11.1702000801    "PWG:11; HUC:1702000801"
         no    11044    eco11.1702000802    "PWG:11; HUC:1702000802"
         no    11045    eco11.1702000803    "PWG:11; HUC:1702000803"
         no    11046    eco11.1702000804    "PWG:11; HUC:1702000804"
         no    11047    eco11.1702000805    "PWG:11; HUC:1702000805"
         no    11048    eco11.1702000806    "PWG:11; HUC:1702000806"
         no    11049    eco11.1702000807    "PWG:11; HUC:1702000807"
         no    11050    eco11.1702000901    "PWG:11; HUC:1702000901"
         no    11051    eco11.1702000902    "PWG:11; HUC:1702000902"
         no    11052    eco11.1711000505    "PWG:11; HUC:1711000505"
         yes    12053    eco12.1702000209    "PWG:12; HUC:1702000209"
         yes    12054    eco12.1702000212    "PWG:12; HUC:1702000212"
         yes    12055    eco12.1702000401    "PWG:12; HUC:1702000401"
         yes    12056    eco12.1702000402    "PWG:12; HUC:1702000402"
         yes    12057    eco12.1702000501    "PWG:12; HUC:1702000501"
         yes    12058    eco12.1702000502    "PWG:12; HUC:1702000502"
         yes    12059    eco12.1702000504    "PWG:12; HUC:1702000504"
         yes    12060    eco12.1702000505    "PWG:12; HUC:1702000505"
         yes    12061    eco12.1702000615    "PWG:12; HUC:1702000615"
         yes    12062    eco12.1702000616    "PWG:12; HUC:1702000616"
         yes    12063    eco12.1702000617    "PWG:12; HUC:1702000617"
         yes    12064    eco12.1702000618    "PWG:12; HUC:1702000618"
         yes    12065    eco12.1702000619    "PWG:12; HUC:1702000619"
         yes    12066    eco12.170200062    "PWG:12; HUC:170200062"
         yes    12067    eco12.1702000621    "PWG:12; HUC:1702000621"
         yes    12068    eco12.1702000622    "PWG:12; HUC:1702000622"
         yes    12069    eco12.1702000718    "PWG:12; HUC:1702000718"
         yes    12070    eco12.1702000719    "PWG:12; HUC:1702000719"
         yes    12071    eco12.170200072    "PWG:12; HUC:170200072"
         yes    12072    eco12.1702000804    "PWG:12; HUC:1702000804"
         yes    12073    eco12.1702000805    "PWG:12; HUC:1702000805"
         yes    12074    eco12.1702000806    "PWG:12; HUC:1702000806"
         yes    12075    eco12.1702000807    "PWG:12; HUC:1702000807"
         yes    13076    eco13.1702000209    "PWG:13; HUC:1702000209"
         yes    13077    eco13.1702000212    "PWG:13; HUC:1702000212"
         yes    13078    eco13.1702000402    "PWG:13; HUC:1702000402"
         yes    13079    eco13.1702000501    "PWG:13; HUC:1702000501"
         yes    13080    eco13.1702000502    "PWG:13; HUC:1702000502"
         yes    13081    eco13.1702000504    "PWG:13; HUC:1702000504"
         yes    13082    eco13.1702000505    "PWG:13; HUC:1702000505"
         yes    13083    eco13.1702000615    "PWG:13; HUC:1702000615"
         yes    13084    eco13.1702000616    "PWG:13; HUC:1702000616"
         yes    13085    eco13.1702000617    "PWG:13; HUC:1702000617"
         yes    13086    eco13.1702000618    "PWG:13; HUC:1702000618"
         yes    13087    eco13.1702000619    "PWG:13; HUC:1702000619"
         yes    13088    eco13.170200062    "PWG:13; HUC:170200062"
         yes    13089    eco13.1702000621    "PWG:13; HUC:1702000621"
         yes    13090    eco13.1702000622    "PWG:13; HUC:1702000622"
         yes    13091    eco13.1702000718    "PWG:13; HUC:1702000718"
         yes    13092    eco13.1702000719    "PWG:13; HUC:1702000719"
         yes    13093    eco13.170200072    "PWG:13; HUC:170200072"
         yes    13094    eco13.1702000802    "PWG:13; HUC:1702000802"
         yes    13095    eco13.1702000804    "PWG:13; HUC:1702000804"
         yes    13096    eco13.1702000805    "PWG:13; HUC:1702000805"
         yes    13097    eco13.1702000806    "PWG:13; HUC:1702000806"
         yes    13098    eco13.1702000807    "PWG:13; HUC:1702000807"
