SpeciesCode,AgeDBH,MaximumBarkThickness
AbieAmab,120,6
AbieGran,150,7.5
AbieLasi,120,6
AbieProc,150,7.5
AcerMacr,80,3.2
AlnuRubr,50,1.5
BetuOcci,50,1.5
BetuPapy,50,1.5
ChamNoot,150,7.5
CornNutt,20,0.8
FraxLati,50,2
JuniOcci,80,4
JuniScop,80,4
LariLyal,100,6.6
LariOcci,150,9.9
PiceEnge,120,6
PinuAlbi,120,6
PinuCont,120,6
PinuMont,150,7.5
PinuPond,200,13.2
PopuBals,100,4
PopuTrem,80,3.2
PrunEmar,50,2.5
PseuMenz,150,9.9
QuerGarr,80,3.2
TaxuBrev,80,2.4
ThujPlic,150,7.5
TsugHete,120,6
TsugMert,150,7.5
NonFxr_Resprt,5,0.1
NonFxr_Seed,5,0.1
Nfixer_Resprt,5,0.1
Grass_Forb,1,0.01
