LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         no    0        eco00.0000000000    "PWG:0;HUC:0000000000"
         no    10001    eco10.170200062    "PWG:10; HUC:170200062"
         no    10002    eco10.1702000803    "PWG:10; HUC:1702000803"
         no    10003    eco10.1702000804    "PWG:10; HUC:1702000804"
         no    10004    eco10.1702000805    "PWG:10; HUC:1702000805"
         no    10005    eco10.1702000806    "PWG:10; HUC:1702000806"
         no    11006    eco11.170200062    "PWG:11; HUC:170200062"
         no    11007    eco11.1702000713    "PWG:11; HUC:1702000713"
         no    11008    eco11.1702000714    "PWG:11; HUC:1702000714"
         no    11009    eco11.1702000718    "PWG:11; HUC:1702000718"
         no    11010    eco11.170200072    "PWG:11; HUC:170200072"
         no    11011    eco11.1702000803    "PWG:11; HUC:1702000803"
         no    11012    eco11.1702000804    "PWG:11; HUC:1702000804"
         yes    12013    eco12.170200062    "PWG:12; HUC:170200062"
         yes    12014    eco12.1702000621    "PWG:12; HUC:1702000621"
         yes    12015    eco12.1702000622    "PWG:12; HUC:1702000622"
         yes    12016    eco12.1702000718    "PWG:12; HUC:1702000718"
         yes    12017    eco12.1702000719    "PWG:12; HUC:1702000719"
         yes    12018    eco12.1702000804    "PWG:12; HUC:1702000804"
         yes    12019    eco12.1702000805    "PWG:12; HUC:1702000805"
         yes    12020    eco12.1702000806    "PWG:12; HUC:1702000806"
         yes    13021    eco13.170200062    "PWG:13; HUC:170200062"
         yes    13022    eco13.1702000621    "PWG:13; HUC:1702000621"
         yes    13023    eco13.1702000622    "PWG:13; HUC:1702000622"
         yes    13024    eco13.1702000718    "PWG:13; HUC:1702000718"
         yes    13025    eco13.1702000719    "PWG:13; HUC:1702000719"
         yes    13026    eco13.170200072    "PWG:13; HUC:170200072"
         yes    13027    eco13.1702000804    "PWG:13; HUC:1702000804"
         yes    13028    eco13.1702000805    "PWG:13; HUC:1702000805"
         yes    13029    eco13.1702000806    "PWG:13; HUC:1702000806"
         yes    14030    eco14.170200062    "PWG:14; HUC:170200062"
         yes    14031    eco14.1702000621    "PWG:14; HUC:1702000621"
         yes    14032    eco14.1702000622    "PWG:14; HUC:1702000622"
         yes    14033    eco14.1702000713    "PWG:14; HUC:1702000713"
         yes    14034    eco14.1702000714    "PWG:14; HUC:1702000714"
         yes    14035    eco14.1702000718    "PWG:14; HUC:1702000718"
