MapCode,SpeciesName,CohortAge,CohortBiomass,WoodBiomass,LeafBiomass
18810,AbieGran,85,306,275.40000000000003,30.6
18810,Grass_Forb,5,2,1.8,0.2
18810,NonFxr_Resprt,10,210,189,21
18810,NonFxr_Seed,10,140,126,14
18833,AbieGran,15,77,69.3,7.7
18833,AbieGran,35,130,117,13
18833,AbieGran,40,77,69.3,7.7
18833,AbieGran,45,486,437.40000000000003,48.6
18833,AbieGran,50,912,820.8000000000001,91.2
18833,AbieGran,80,48,43.2,4.800000000000001
18833,Grass_Forb,5,4,3.6,0.4
18833,NonFxr_Resprt,10,520,468,52
18833,NonFxr_Resprt,30,525,472.5,52.5
18833,NonFxr_Seed,10,65,58.5,6.5
18833,PinuMont,135,2901,2610.9,290.1
18833,PinuMont,180,4114,3702.6,411.40000000000003
18833,PinuMont,215,3225,2902.5,322.5
18833,PseuMenz,35,47,42.300000000000004,4.7
18833,PseuMenz,40,39,35.1,3.9000000000000004
18833,TsugHete,35,42,37.800000000000004,4.2
18833,TsugHete,40,42,37.800000000000004,4.2
18868,Nfixer_Resprt,10,100,90,10
18868,NonFxr_Resprt,10,530,477,53
18868,PopuTrem,35,81,72.9,8.1
18868,PopuTrem,40,408,367.2,40.800000000000004
18868,PopuTrem,45,146,131.4,14.600000000000001
18868,PopuTrem,75,187,168.3,18.7
18868,PopuTrem,80,18,16.2,1.8
18946,Grass_Forb,5,6,5.4,0.6000000000000001
18946,Nfixer_Resprt,10,265,238.5,26.5
18946,Nfixer_Resprt,30,400,360,40
18946,NonFxr_Resprt,10,465,418.5,46.5
18946,PinuPond,40,75,67.5,7.5
18946,PinuPond,50,60,54,6
18946,PinuPond,55,24,21.6,2.4000000000000004
18946,PinuPond,70,55,49.5,5.5
18946,PseuMenz,45,93,83.7,9.3
19036,Grass_Forb,5,1,0.9,0.1
19036,NonFxr_Resprt,10,485,436.5,48.5
19036,NonFxr_Resprt,30,350,315,35
19036,NonFxr_Seed,10,215,193.5,21.5
19036,PinuPond,20,42,37.800000000000004,4.2
19036,PinuPond,30,166,149.4,16.6
19036,PinuPond,40,88,79.2,8.8
19036,PinuPond,55,125,112.5,12.5
19066,Grass_Forb,5,16,14.4,1.6
19066,NonFxr_Resprt,10,1125,1012.5,112.5
19066,NonFxr_Seed,10,225,202.5,22.5
19066,NonFxr_Seed,20,125,112.5,12.5
19066,NonFxr_Seed,30,500,450,50
19066,NonFxr_Seed,40,650,585,65
19066,PseuMenz,65,564,507.6,56.400000000000006
19066,PseuMenz,70,253,227.70000000000002,25.3
19066,PseuMenz,75,54,48.6,5.4
19066,PseuMenz,90,1104,993.6,110.4
19066,PseuMenz,95,1841,1656.9,184.10000000000002
19066,PseuMenz,105,3260,2934,326
19066,PseuMenz,110,3305,2974.5,330.5
19066,PseuMenz,115,4452,4006.8,445.20000000000005
19066,PseuMenz,120,1755,1579.5,175.5
19066,PseuMenz,125,949,854.1,94.9
19066,PseuMenz,130,2746,2471.4,274.6
19066,PseuMenz,140,2271,2043.9,227.10000000000002
19066,PseuMenz,145,4878,4390.2,487.8
19085,AbieGran,20,8,7.2,0.8
19085,AbieGran,50,133,119.7,13.3
19085,AbieGran,70,33,29.7,3.3000000000000003
19085,AbieGran,75,29,26.1,2.9000000000000004
19085,Grass_Forb,5,12,10.8,1.2000000000000002
19085,NonFxr_Resprt,10,575,517.5,57.5
19085,NonFxr_Resprt,20,500,450,50
19085,NonFxr_Resprt,30,350,315,35
19085,NonFxr_Seed,10,200,180,20
19085,NonFxr_Seed,20,250,225,25
19085,PseuMenz,25,154,138.6,15.4
19085,PseuMenz,35,23,20.7,2.3000000000000003
19085,ThujPlic,55,178,160.20000000000002,17.8
19085,ThujPlic,65,46,41.4,4.6000000000000005
19092,AbieGran,40,92,82.8,9.200000000000001
19092,AbieGran,50,142,127.8,14.200000000000001
19092,AbieGran,55,101,90.9,10.100000000000001
19092,AbieGran,60,225,202.5,22.5
19092,AbieGran,80,213,191.70000000000002,21.3
19092,BetuPapy,55,208,187.20000000000002,20.8
19092,BetuPapy,60,171,153.9,17.1
19092,BetuPapy,65,235,211.5,23.5
19092,BetuPapy,70,643,578.7,64.3
19092,Grass_Forb,5,12,10.8,1.2000000000000002
19092,LariOcci,60,54,48.6,5.4
19092,LariOcci,65,110,99,11
19092,LariOcci,70,380,342,38
19092,LariOcci,75,234,210.6,23.400000000000002
19092,LariOcci,85,58,52.2,5.800000000000001
19092,LariOcci,90,378,340.2,37.800000000000004
19092,NonFxr_Resprt,10,470,423,47
19092,NonFxr_Resprt,30,175,157.5,17.5
19092,NonFxr_Resprt,40,325,292.5,32.5
19092,PseuMenz,45,117,105.3,11.700000000000001
19092,PseuMenz,55,128,115.2,12.8
19092,PseuMenz,65,290,261,29
19092,PseuMenz,75,479,431.1,47.900000000000006
