LandisData   "Ecoregions"

>>      	Map
>> 	Active  Code	Name   Description
>> 	------  ---- 	-----  -----------
         no    0        eco00.0000000000    "PWG:0;HUC:0000000000"
         no    10001    eco10.1702000902    "PWG:10; HUC:1702000902"
         no    10002    eco10.1702001002    "PWG:10; HUC:1702001002"
         no    10003    eco10.1702001003    "PWG:10; HUC:1702001003"
         no    10004    eco10.1702001101    "PWG:10; HUC:1702001101"
         no    10005    eco10.1702001102    "PWG:10; HUC:1702001102"
         no    10006    eco10.1702001103    "PWG:10; HUC:1702001103"
         no    10007    eco10.1702001104    "PWG:10; HUC:1702001104"
         no    10008    eco10.1702001107    "PWG:10; HUC:1702001107"
         no    10009    eco10.1703000101    "PWG:10; HUC:1703000101"
         no    10010    eco10.1711000602    "PWG:10; HUC:1711000602"
         no    10011    eco10.1711000901    "PWG:10; HUC:1711000901"
         no    10012    eco10.1711000902    "PWG:10; HUC:1711000902"
         no    11013    eco11.1702000901    "PWG:11; HUC:1702000901"
         no    11014    eco11.1702000902    "PWG:11; HUC:1702000902"
         no    11015    eco11.1702000903    "PWG:11; HUC:1702000903"
         no    11016    eco11.1702001002    "PWG:11; HUC:1702001002"
         no    11017    eco11.1702001003    "PWG:11; HUC:1702001003"
         no    11018    eco11.1702001101    "PWG:11; HUC:1702001101"
         no    11019    eco11.1702001102    "PWG:11; HUC:1702001102"
         no    11020    eco11.1702001103    "PWG:11; HUC:1702001103"
         no    11021    eco11.1702001104    "PWG:11; HUC:1702001104"
         no    11022    eco11.1702001105    "PWG:11; HUC:1702001105"
         no    11023    eco11.1702001106    "PWG:11; HUC:1702001106"
         no    11024    eco11.1702001107    "PWG:11; HUC:1702001107"
         no    11025    eco11.1703000101    "PWG:11; HUC:1703000101"
         no    11026    eco11.1703000102    "PWG:11; HUC:1703000102"
         no    11027    eco11.1703000104    "PWG:11; HUC:1703000104"
         no    11028    eco11.1703000105    "PWG:11; HUC:1703000105"
         no    11029    eco11.1711000601    "PWG:11; HUC:1711000601"
         no    11030    eco11.1711000602    "PWG:11; HUC:1711000602"
         no    11031    eco11.1711000901    "PWG:11; HUC:1711000901"
         no    11032    eco11.1711000902    "PWG:11; HUC:1711000902"
         no    11033    eco11.1711000904    "PWG:11; HUC:1711000904"
         yes    12034    eco12.1702000903    "PWG:12; HUC:1702000903"
         yes    12035    eco12.1702001001    "PWG:12; HUC:1702001001"
         yes    12036    eco12.1702001002    "PWG:12; HUC:1702001002"
         yes    12037    eco12.1702001003    "PWG:12; HUC:1702001003"
         yes    12038    eco12.1702001101    "PWG:12; HUC:1702001101"
         yes    12039    eco12.1702001103    "PWG:12; HUC:1702001103"
         yes    12040    eco12.1702001104    "PWG:12; HUC:1702001104"
         yes    12041    eco12.1702001105    "PWG:12; HUC:1702001105"
         yes    12042    eco12.1702001106    "PWG:12; HUC:1702001106"
         yes    12043    eco12.1702001107    "PWG:12; HUC:1702001107"
         yes    12044    eco12.1703000102    "PWG:12; HUC:1703000102"
         yes    12045    eco12.1703000105    "PWG:12; HUC:1703000105"
         yes    13046    eco13.1702000902    "PWG:13; HUC:1702000902"
         yes    13047    eco13.1702000903    "PWG:13; HUC:1702000903"
         yes    13048    eco13.1702001001    "PWG:13; HUC:1702001001"
         yes    13049    eco13.1702001002    "PWG:13; HUC:1702001002"
         yes    13050    eco13.1702001003    "PWG:13; HUC:1702001003"
         yes    13051    eco13.1702001101    "PWG:13; HUC:1702001101"
         yes    13052    eco13.1702001102    "PWG:13; HUC:1702001102"
         yes    13053    eco13.1702001103    "PWG:13; HUC:1702001103"
         yes    13054    eco13.1702001104    "PWG:13; HUC:1702001104"
         yes    13055    eco13.1702001105    "PWG:13; HUC:1702001105"
         yes    13056    eco13.1702001106    "PWG:13; HUC:1702001106"
         yes    13057    eco13.1702001107    "PWG:13; HUC:1702001107"
         yes    13058    eco13.1703000101    "PWG:13; HUC:1703000101"
         yes    13059    eco13.1703000104    "PWG:13; HUC:1703000104"
