"","MapCode","SpeciesName","CohortAge","CohortBiomass","WoodBiomass","LeafBiomass"
"1",18745,"Grass_Forb",5,3,2.7,0.3
"2",18745,"Nfixer_Resprt",10,360,324,36
"3",18745,"Nfixer_Resprt",20,200,180,20
"4",18745,"NonFxr_Resprt",10,380,342,38
"5",18745,"NonFxr_Resprt",30,800,720,80
"6",18745,"NonFxr_Seed",10,145,130.5,14.5
"7",18745,"NonFxr_Seed",20,375,337.5,37.5
"8",18745,"PinuPond",20,7,6.3,0.7
"9",18745,"PinuPond",25,97,87.3,9.7
"10",18745,"PinuPond",40,28,25.2,2.8
"11",18745,"PinuPond",130,1641,1476.9,164.1
"12",18752,"AbieLasi",25,6,5.4,0.6
"13",18752,"AbieLasi",35,6,5.4,0.6
"14",18752,"AbieLasi",45,52,46.8,5.2
"15",18752,"AbieLasi",55,56,50.4,5.6
"16",18752,"Grass_Forb",5,9,8.1,0.9
"17",18752,"Nfixer_Resprt",10,100,90,10
"18",18752,"Nfixer_Resprt",20,375,337.5,37.5
"19",18752,"NonFxr_Resprt",10,255,229.5,25.5
"20",18752,"PiceEnge",50,75,67.5,7.5
"21",18752,"PiceEnge",95,270,243,27
"22",18752,"PiceEnge",160,1949,1754.1,194.9
"23",18752,"PiceEnge",170,3898,3508.2,389.8
"24",18752,"PinuCont",40,194,174.6,19.4
"25",18752,"PinuCont",100,176,158.4,17.6
"26",18752,"PseuMenz",50,88,79.2,8.8
"27",18809,"AbieGran",60,123,110.7,12.3
"28",18809,"Grass_Forb",5,21,18.9,2.1
"29",18809,"NonFxr_Resprt",10,190,171,19
"30",18809,"NonFxr_Resprt",20,100,90,10
"31",18809,"ThujPlic",55,112,100.8,11.2
"32",18809,"ThujPlic",60,69,62.1,6.9
"33",18809,"ThujPlic",85,242,217.8,24.2
"34",18809,"ThujPlic",150,449,404.1,44.9
"35",18809,"TsugHete",30,55,49.5,5.5
"36",18809,"TsugHete",40,64,57.6,6.4
"37",18809,"TsugHete",45,450,405,45
"38",18809,"TsugHete",55,72,64.8,7.2
"39",18809,"TsugHete",60,32,28.8,3.2
"40",18810,"AbieGran",85,306,275.4,30.6
"41",18810,"Grass_Forb",5,2,1.8,0.2
"42",18810,"NonFxr_Resprt",10,210,189,21
