,SpeciesCode,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,Grass,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve1,MoistureCurve2,MoistureCurve3,MoistureCurve4,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,LightLAIShape,LightLAIScale,LightLAILocation,LightLAIAdjust
1,AbieAmab,FALSE,250,3000,-10,0.4,7,FALSE,0.25,0.22,0.28,0.28,80,45,333,220,70,150,47920,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,2.065189889,11.27133809,0,0.92874172
2,AbieGran,FALSE,300,4000,-10,0.7,7,FALSE,0.25,0.22,0.28,0.3,80,45,333,220,70,175,31000,FALSE,20,37,1,5,0.3,-0.8,22000,7,0,0.6,0.5,0,0.11,5.00E-05,15,10,0.3,0.76,1.77611308,2.982066973,0.11550548,0.284550942
3,AbieLasi,FALSE,250,2000,-15,0.6,8,FALSE,0.25,0.22,0.3,0.35,42,27,400,100,70,150,11653,FALSE,14,27,5,1,0.3,-0.8,25000,6,0,0.8,0.7,0,0.11,5.00E-05,15,10,0.3,0.76,0.322946054,14.11333995,0,2.708773338
4,AbieProc,FALSE,300,4000,-10,0.5,5,FALSE,0.25,0.22,0.28,0.32,50,26,400,220,70,175,6599,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,1.808173536,15.56377294,0.023275348,0.912621808
5,AcerMacr,FALSE,500,4000,-7,0.6,1,FALSE,0.2,0.22,0.28,0.28,24,30,400,100,60,175,8509,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,1.522895029,19.53629214,0,1.848967906
6,AlnuRubr,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,2553,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,1.211887168,9.040996951,0,1.171880203
7,BetuOcci,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,563,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,0.648904972,0.115763687,0,4.5434908
8,BetuPapy,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,4747,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,0.345845334,0.113302177,0,3.908846772
9,ChamNoot,FALSE,250,3000,-17,0.4,9,FALSE,0.3,0.22,0.25,0.25,48,30,245,220,60,100,18624,FALSE,16,33,3,3,0.3,-0.8,33000,8,0,0.7,0.6,0,0.11,5.00E-05,15,10,0.3,0.76,2.459308903,6.042137543,0.007181677,0.791354193
10,CornNutt,FALSE,500,4000,-10,0.7,1,TRUE,0.18,0.15,0.28,0.32,22,25,200,100,30,75,1864,FALSE,16,36,5,1,0.32,-0.8,26000,6,0,1.5,0.8,0,0.11,5.00E-05,15,10,0.3,0.76,2.588584287,8.969299726,0.009890205,0.868790785
