SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
AbieAmab,2,FALSE,250,3000,-10,0.4,7,FALSE,0.25,0.22,0.28,0.28,80,45,333,220,70,150,47920
AbieGran,3,FALSE,300,4000,-10,0.7,7,FALSE,0.25,0.22,0.28,0.3,80,45,333,220,70,175,31000
AbieLasi,1,FALSE,250,2000,-15,0.6,8,FALSE,0.25,0.22,0.3,0.35,42,27,400,100,70,150,11653
AbieProc,2,FALSE,300,4000,-10,0.5,5,FALSE,0.25,0.22,0.28,0.32,50,26,400,220,70,175,6599
AcerMacr,4,FALSE,500,4000,-7,0.6,1,FALSE,0.2,0.22,0.28,0.28,24,30,400,100,60,175,8509
AlnuRubr,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,2553
BetuOcci,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,563
BetuPapy,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,22,25,200,100,30,175,4747
ChamNoot,2,FALSE,250,3000,-17,0.4,9,FALSE,0.3,0.22,0.25,0.25,48,30,245,220,60,100,18624
CornNutt,4,FALSE,500,4000,-10,0.7,1,TRUE,0.18,0.15,0.28,0.32,22,25,200,100,30,75,1864
FraxLati,5,FALSE,700,3500,-5,0.7,1,TRUE,0.18,0.22,0.28,0.28,30,35,340,220,40,100,13851
JuniOcci,3,FALSE,500,5500,-12,0.9,6,FALSE,0.25,0.22,0.3,0.28,35,35,340,200,70,85,1751
JuniScop,3,FALSE,500,5500,-12,0.9,6,FALSE,0.25,0.22,0.3,0.28,35,35,340,200,70,85,2131
LariLyal,1,FALSE,200,1500,-20,0.7,1,TRUE,0.3,0.22,0.25,0.2,22,26,600,100,70,150,5750
LariOcci,3,FALSE,400,3000,-10,0.8,1,TRUE,0.3,0.22,0.25,0.2,22,26,600,100,70,200,15468
PiceEnge,1,FALSE,250,2200,-15,0.6,7,TRUE,0.15,0.26,0.29,0.35,50,39,400,200,70,150,22906
PinuAlbi,1,FALSE,200,2000,-20,0.6,8,FALSE,0.3,0.22,0.3,0.25,60,40,300,222,90,150,7161
PinuCont,1,FALSE,250,3000,-18,0.7,5,FALSE,0.25,0.3,0.3,0.3,55,40,450,220,90,150,17075
PinuMont,2,FALSE,300,4000,-16,0.7,6,FALSE,0.25,0.22,0.28,0.28,40,35,450,220,90,150,8482
PinuPond,3,FALSE,250,5500,-8,0.95,5,FALSE,0.25,0.22,0.28,0.3,50,48,400,220,70,200,16516
PopuBals,5,TRUE,500,5500,-7,0.4,1,TRUE,0.2,0.15,0.28,0.32,22,25,200,100,30,85,11418
PopuTrem,4,TRUE,300,3500,-15,0.8,1,TRUE,0.2,0.22,0.2,0.25,25,62,200,100,70,75,8359
PrunEmar,4,TRUE,400,3000,-7,0.5,1,FALSE,0.2,0.15,0.28,0.32,20,25,200,100,30,75,1242
PseuMenz,2,FALSE,300,4500,-8,0.85,8,TRUE,0.25,0.3,0.28,0.3,45,45,200,100,80,200,27786
QuerGarr,5,FALSE,700,5000,-4,0.95,1,TRUE,0.2,0.22,0.25,0.28,30,40,350,100,50,100,8320
TaxuBrev,2,FALSE,400,2500,-4,0.5,4,TRUE,0.3,0.22,0.25,0.25,37,37,500,220,90,100,1050
ThujPlic,2,FALSE,250,3000,-11,0.6,6,FALSE,0.3,0.21,0.28,0.32,56,29,400,220,90,200,21463
TsugHete,2,FALSE,250,3000,-12,0.5,5,FALSE,0.2,0.22,0.28,0.32,45,50,400,220,90,175,37912
TsugMert,1,FALSE,200,2500,-18,0.82,5,TRUE,0.25,0.2,0.25,0.25,80,80,333,220,90,125,22617
NonFxr_Resprt,6,FALSE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000
NonFxr_Seed,6,FALSE,200,4500,-10,0.95,2,FALSE,0.25,0.2,0.25,0.25,60,59,333,220,100,50,4000
Nfixer_Resprt,6,TRUE,200,4500,-10,0.95,2,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,50,4000
Grass_Forb,6,TRUE,200,5000,-12,1,1,TRUE,0.25,0.2,0.25,0.25,20,28,333,100,50,20,5000
